Long,Lat,UTM_X(East),UTM_Y(North)
126.3146889,33.3054555,249980.751321261,3688369.15784415
126.3146888,33.3054555,249980.74200791,3688369.15808401
126.3146888,33.3054555,249980.74200791,3688369.15808401
126.3146888,33.3054555,249980.74200791,3688369.15808401
126.3146885,33.3054556,249980.714353506,3688369.169895
126.314688,33.3054555,249980.667501101,3688369.16000287
126.3146879,33.3054555,249980.658187747,3688369.16024272
126.3146879,33.3054551,249980.657045147,3688369.11587702
126.3146875,33.3054553,249980.620363042,3688369.1390193
126.3146873,33.3054554,249980.60202199,3688369.15059044
126.314687,33.3054555,249980.574367586,3688369.16240144
126.3146867,33.3054557,249980.546998831,3688369.18530386
126.3146862,33.3054564,249980.502431625,3688369.26414312
126.3146859,33.3054568,249980.475634173,3688369.30922839
126.3146857,33.3054568,249980.457007468,3688369.30970811
126.314685,33.305457,249980.392385311,3688369.33356996
126.3146838,33.3054573,249980.281482048,3688369.36972252
126.3146835,33.3054578,249980.254970247,3688369.42589922
126.3146832,33.3054581,249980.227887143,3688369.45989307
126.314683,33.3054582,249980.209546091,3688369.47146421
